Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
185,Exit long,2024-05-08 23:55,a-l-sl,19854.75,85,33773900,-20833.5,-0.06,3820.75,0.01,-20829.25,-0.06,1058737.9,21.17
185,Entry long,2024-05-08 22:00,AL,19867,85,33773900,-20833.5,-0.06,3820.75,0.01,-20829.25,-0.06,1058737.9,21.17
186,Exit long,2024-05-12 23:20,a-l-tp1,19970,91,36314005,31385.9,0.09,31390.45,0.09,-7284.55,-0.02,1090119.2,21.80
186,Entry long,2024-05-12 21:15,AL,19952.75,91,36314005,31385.9,0.09,31390.45,0.09,-7284.55,-0.02,1090119.2,21.80
187,Exit long,2024-05-13 01:00,a-l-tp2,19987.25,91,36314005,62780.9,0.17,62785.45,0.17,-7284.55,-0.02,1152904.8,23.06
187,Entry long,2024-05-12 21:15,AL,19952.75,91,36314005,62780.9,0.17,62785.45,0.17,-7284.55,-0.02,1152904.8,23.06
188,Exit short,2024-05-13 23:25,a-s-tp1,19960,95,37955350,31340.5,0.08,31345.25,0.08,-1904.75,-0.01,1184240.5,23.68
188,Entry short,2024-05-13 21:00,AS,19976.5,95,37955350,31340.5,0.08,31345.25,0.08,-1904.75,-0.01,1184240.5,23.68
189,Exit short,2024-05-14 01:20,a-s-be,19975.5,95,37955350,1890.5,0.00,32295.25,0.09,-1904.75,-0.01,1186135.8,23.72
189,Entry short,2024-05-13 21:00,AS,19976.5,95,37955350,1890.5,0.00,32295.25,0.09,-1904.75,-0.01,1186135.8,23.72
190,Exit long,2024-05-14 10:40,n-l-sl,20000,31,12424645,-24648.1,-0.20,0,0.00,-36581.55,-0.29,1161486,23.23
190,Entry long,2024-05-14 10:35,NL,20039.75,31,12424645,-24648.1,-0.20,0,0.00,-36581.55,-0.29,1161486,23.23
191,Exit long,2024-05-14 10:40,n-l-sl,20000,32,12825440,-25443.2,-0.20,0,0.00,-37761.6,-0.29,1136044.4,22.72
191,Entry long,2024-05-14 10:35,NL,20039.75,32,12825440,-25443.2,-0.20,0,0.00,-37761.6,-0.29,1136044.4,22.72
192,Exit short,2024-05-14 22:35,a-s-sl,20126.25,95,38214700,-25184.5,-0.07,470.25,0.00,-25179.75,-0.07,1110855.1,22.22
192,Entry short,2024-05-14 21:25,AS,20113,95,38214700,-25184.5,-0.07,470.25,0.00,-25179.75,-0.07,1110855.1,22.22
193,Exit short,2024-05-14 22:35,a-s-sl,20126.25,95,38214700,-25184.5,-0.07,470.25,0.00,-25179.75,-0.07,1085675.4,21.71
